Code géographique 1991;Statut municipal;Nom de la municipalité;Population estimée;Latitude;Longitude 
31050;P;Sainte-Praxède;386;45° 54' 05" N;71° 15' 17" O
31056;M;Adstock;3173;46° 02' 50" N;71° 04' 40" O
31060;M;Sainte-Clotilde-de-Beauce;592;46° 07' 32" N;71° 01' 42" O
31084;V;Thetford Mines;26918;46° 05' 20" N;71° 18' 07" O
31095;M;Saint-Adrien-d'Irlande;388;46° 06' 35" N;71° 27' 04" O
31100;M;Saint-Jean-de-Brébeuf;365;46° 11' 00" N;71° 27' 25" O
31105;M;Kinnear's Mills;417;46° 13' 24" N;71° 22' 55" O
31122;M;East Broughton;2350;46° 13' 34" N;71° 04' 39" O
31130;P;Sacré-Coeur-de-Jésus;573;46° 14' 07" N;71° 03' 26" O
31135;M;Saint-Pierre-de-Broughton;915;46° 14' 44" N;71° 12' 24" O
31140;M;Saint-Jacques-de-Leeds;744;46° 17' 20" N;71° 20' 18" O
32013;M;Saint-Ferdinand;2079;46° 06' 43" N;71° 34' 24" O
32023;M;Sainte-Sophie-d'Halifax;602;46° 09' 13" N;71° 42' 28" O
32033;V;Princeville;6418;46° 10' 18" N;71° 52' 33" O
32043;V;Plessisville;9507;46° 13' 08" N;71° 46' 19" O
32050;P;Saint-Pierre-Baptiste;607;46° 12' 15" N;71° 37' 03" O
32058;M;Inverness;967;46° 15' 38" N;71° 31' 21" O
32065;M;Lyster;1677;46° 22' 18" N;71° 36' 56" O
32072;M;Laurierville;1381;46° 17' 48" N;71° 39' 23" O
32080;P;Notre-Dame-de-Lourdes;822;46° 19' 37" N;71° 49' 09" O
32085;M;Villeroy;515;46° 23' 12" N;71° 52' 28" O
33007;M;Saint-Sylvestre;1057;46° 21' 54" N;71° 13' 23" O
33017;M;Sainte-Agathe-de-Lotbinière;1033;46° 22' 34" N;71° 24' 01" O
33025;M;Saint-Patrice-de-Beaurivage;1113;46° 24' 43" N;71° 14' 20" O
33030;P;Saint-Narcisse-de-Beaurivage;1246;46° 28' 54" N;71° 13' 54" O
33035;M;Saint-Gilles;3303;46° 30' 36" N;71° 21' 53" O
33040;M;Dosquet;933;46° 27' 56" N;71° 31' 35" O
33045;M;Saint-Agapit;4790;46° 33' 52" N;71° 26' 13" O
33052;M;Saint-Flavien;1679;46° 31' 08" N;71° 36' 12" O
33060;VL;Laurier-Station;2760;46° 32' 17" N;71° 37' 54" O
33065;M;Saint-Janvier-de-Joly;1168;46° 29' 07" N;71° 39' 48" O
33070;M;Val-Alain;1070;46° 24' 59" N;71° 45' 17" O
33080;P;Saint-Édouard-de-Lotbinière;1316;46° 34' 08" N;71° 50' 14" O
33085;P;Notre-Dame-du-Sacré-Coeur-d'Issoudun;895;46° 34' 43" N;71° 37' 23" O
33090;M;Saint-Apollinaire;9024;46° 37' 00" N;71° 30' 38" O
33095;M;Saint-Antoine-de-Tilly;1789;46° 39' 52" N;71° 34' 22" O
33102;M;Sainte-Croix;2637;46° 37' 23" N;71° 44' 23" O
33115;M;Lotbinière;864;46° 37' 01" N;71° 55' 46" O
33123;M;Leclercville;513;46° 34' 17" N;72° 00' 04" O
34007;V;Neuville;4578;46° 41' 55" N;71° 35' 25" O
34017;V;Pont-Rouge;11124;46° 45' 17" N;71° 41' 50" O
34025;V;Donnacona;7806;46° 40' 22" N;71° 44' 14" O
34030;V;Cap-Santé;3840;46° 40' 17" N;71° 46' 16" O
34038;V;Saint-Basile;2863;46° 45' 22" N;71° 49' 34" O
34048;V;Portneuf;3476;46° 41' 27" N;71° 53' 20" O
34058;M;Deschambault-Grondines;2261;46° 38' 55" N;71° 55' 38" O
34060;P;Saint-Gilbert;295;46° 42' 55" N;71° 59' 40" O
34065;V;Saint-Marc-des-Carrières;2906;46° 40' 49" N;72° 02' 56" O
34078;M;Saint-Casimir;1482;46° 39' 23" N;72° 08' 27" O
34085;P;Saint-Thuribe;302;46° 42' 30" N;72° 09' 46" O
34090;M;Saint-Ubalde;1568;46° 45' 19" N;72° 16' 11" O
34097;M;Saint-Alban;1249;46° 43' 10" N;72° 04' 38" O
34105;M;Sainte-Christine-d'Auvergne;692;46° 48' 51" N;71° 58' 15" O
34115;M;Saint-Léonard-de-Portneuf;1181;46° 53' 27" N;71° 54' 23" O
34120;V;Lac-Sergent;616;46° 52' 10" N;71° 43' 29" O
34128;V;Saint-Raymond;11792;46° 53' 29" N;71° 49' 57" O
34135;M;Rivière-à-Pierre;619;46° 59' 49" N;72° 10' 34" O
34902;NO;Lac-Blanc;0;47° 15' 54" N;71° 54' 21" O
34904;NO;Linton;10;47° 12' 35" N;72° 05' 18" O
34906;NO;Lac-Lapeyrère;0;47° 14' 03" N;72° 23' 52" O
35005;M;Notre-Dame-de-Montauban;829;46° 52' 34" N;72° 18' 30" O
35010;P;Lac-aux-Sables;1426;46° 51' 32" N;72° 23' 59" O
35015;P;Saint-Adelphe;928;46° 44' 04" N;72° 25' 51" O
35020;P;Saint-Séverin;805;46° 40' 02" N;72° 30' 10" O
35027;V;Saint-Tite;3768;46° 43' 37" N;72° 33' 53" O
35035;P;Hérouxville;1537;46° 40' 25" N;72° 36' 51" O
35040;VL;Grandes-Piles;590;46° 41' 12" N;72° 43' 33" O
35045;P;Saint-Roch-de-Mékinac;325;46° 48' 41" N;72° 46' 08" O
35050;M;Sainte-Thècle;2456;46° 48' 54" N;72° 30' 28" O
35055;M;Trois-Rives;443;46° 55' 02" N;72° 41' 59" O
35902;NO;Lac-Masketsi;0;47° 04' 46" N;72° 30' 51" O
35904;NO;Lac-Normand;10;47° 09' 45" N;73° 24' 09" O
35906;NO;Rivière-de-la-Savane;5;47° 06' 14" N;73° 37' 57" O
35908;NO;Lac-Boulé;0;46° 53' 22" N;73° 37' 56" O
36033;V;Shawinigan;51771;46° 32' 28" N;72° 44' 43" O
37067;V;Trois-Rivières;149208;46° 20' 35" N;72° 32' 36" O
37205;M;Sainte-Anne-de-la-Pérade;2037;46° 34' 08" N;72° 12' 40" O
37210;M;Batiscan;1015;46° 29' 18" N;72° 15' 24" O
37215;P;Sainte-Geneviève-de-Batiscan;1139;46° 31' 56" N;72° 20' 19" O
37220;M;Champlain;1931;46° 26' 14" N;72° 21' 17" O
37225;M;Saint-Luc-de-Vincennes;573;46° 29' 48" N;72° 25' 09" O
37230;P;Saint-Maurice;3663;46° 28' 09" N;72° 31' 50" O
37235;P;Notre-Dame-du-Mont-Carmel;6527;46° 28' 22" N;72° 40' 32" O
37240;P;Saint-Narcisse;1835;46° 33' 48" N;72° 28' 24" O
37245;M;Saint-Stanislas;1041;46° 36' 40" N;72° 23' 12" O
37250;M;Saint-Prosper-de-Champlain;470;46° 36' 50" N;72° 17' 41" O
38005;M;Saint-Sylvère;795;46° 14' 00" N;72° 13' 29" O
38010;V;Bécancour;14752;46° 20' 54" N;72° 26' 06" O
38015;M;Sainte-Marie-de-Blandford;482;46° 19' 25" N;72° 10' 44" O
38020;M;Lemieux;283;46° 17' 44" N;72° 06' 32" O
38028;M;Manseau;841;46° 21' 58" N;72° 00' 10" O
38035;M;Sainte-Françoise;484;46° 26' 47" N;71° 58' 57" O
38040;P;Sainte-Sophie-de-Lévrard;768;46° 25' 41" N;72° 06' 34" O
38047;M;Fortierville;664;46° 29' 10" N;72° 01' 55" O
38055;P;Parisville;518;46° 31' 07" N;72° 03' 56" O
38060;P;Sainte-Cécile-de-Lévrard;347;46° 28' 00" N;72° 09' 42" O
38065;M;Saint-Pierre-les-Becquets;1174;46° 30' 23" N;72° 12' 11" O
38070;M;Deschaillons-sur-Saint-Laurent;908;46° 33' 06" N;72° 07' 31" O
38802;R;Wôlinak;286;46° 19' 43" N;72° 25' 18" O
39005;P;Saints-Martyrs-Canadiens;314;45° 51' 19" N;71° 32' 04" O
39010;CT;Ham-Nord;930;45° 54' 11" N;71° 38' 48" O
39015;M;Notre-Dame-de-Ham;404;45° 54' 33" N;71° 44' 11" O
39020;M;Saint-Rémi-de-Tingwick;473;45° 51' 58" N;71° 49' 13" O
39025;M;Tingwick;1561;45° 52' 44" N;71° 56' 33" O
39030;M;Chesterville;898;45° 57' 44" N;71° 49' 24" O
39035;M;Sainte-Hélène-de-Chester;409;46° 01' 54" N;71° 42' 34" O
39043;M;Saint-Norbert-d'Arthabaska;1301;46° 06' 23" N;71° 49' 16" O
39060;P;Saint-Christophe-d'Arthabaska;3296;46° 01' 49" N;71° 55' 54" O
39062;V;Victoriaville;49754;46° 03' 21" N;71° 57' 38" O
39077;V;Warwick;4959;45° 56' 45" N;71° 59' 22" O
39085;M;Saint-Albert;1758;46° 00' 10" N;72° 05' 20" O
39090;M;Sainte-Élizabeth-de-Warwick;391;45° 55' 16" N;72° 04' 47" O
39097;V;Kingsey Falls;2052;45° 51' 29" N;72° 04' 20" O
39105;P;Sainte-Séraphine;440;45° 55' 16" N;72° 11' 06" O
39117;M;Sainte-Clotilde-de-Horton;1600;45° 59' 41" N;72° 14' 24" O
39130;M;Saint-Samuel;784;46° 04' 17" N;72° 12' 23" O
39135;M;Saint-Valère;1191;46° 03' 57" N;72° 05' 45" O
39145;P;Saint-Rosaire;949;46° 09' 49" N;72° 01' 38" O
39152;V;Daveluyville;2421;46° 12' 21" N;72° 08' 17" O
39165;M;Maddington Falls;448;46° 13' 03" N;72° 08' 38" O
39170;M;Saint-Louis-de-Blandford;1075;46° 14' 58" N;72° 00' 08" O
40005;M;Ham-Sud;230;45° 45' 22" N;71° 36' 04" O
40010;M;Saint-Adrien;562;45° 49' 10" N;71° 43' 22" O
40017;M;Wotton;1466;45° 44' 11" N;71° 48' 35" O
40025;CT;Saint-Camille;586;45° 40' 57" N;71° 42' 06" O
40032;M;Saint-Georges-de-Windsor;1004;45° 41' 53" N;71° 50' 40" O
40043;V;Val-des-Sources;7367;45° 46' 39" N;71° 56' 18" O
40047;V;Danville;3923;45° 46' 56" N;72° 00' 30" O
41012;M;Saint-Isidore-de-Clifton;728;45° 15' 52" N;71° 30' 40" O
41020;M;Chartierville;326;45° 17' 56" N;71° 12' 08" O
41027;M;La Patrie;827;45° 24' 12" N;71° 15' 06" O
41037;M;Newport;712;45° 23' 19" N;71° 28' 43" O
41038;V;Cookshire-Eaton;5461;45° 24' 47" N;71° 37' 34" O
41055;M;Ascot Corner;3632;45° 26' 54" N;71° 45' 60" O
41060;V;East Angus;4072;45° 29' 03" N;71° 39' 33" O
41065;CT;Westbury;1159;45° 28' 07" N;71° 40' 57" O
41070;M;Bury;1271;45° 28' 23" N;71° 30' 02" O
41075;CT;Hampden;204;45° 27' 43" N;71° 15' 32" O
41080;V;Scotstown;479;45° 31' 24" N;71° 16' 51" O
41085;CT;Lingwick;478;45° 36' 35" N;71° 21' 07" O
41098;M;Weedon;2835;45° 42' 26" N;71° 27' 38" O
41117;M;Dudswell;1805;45° 34' 49" N;71° 34' 18" O
42005;M;Stoke;3274;45° 31' 59" N;71° 48' 20" O
42020;M;Saint-François-Xavier-de-Brompton;2602;45° 32' 25" N;72° 02' 43" O
42025;M;Saint-Denis-de-Brompton;5184;45° 27' 30" N;72° 04' 47" O
42032;M;Racine;1436;45° 30' 13" N;72° 14' 35" O
42040;M;Bonsecours;651;45° 24' 23" N;72° 18' 15" O
42045;VL;Lawrenceville;608;45° 25' 18" N;72° 20' 28" O
42050;M;Sainte-Anne-de-la-Rochelle;607;45° 24' 13" N;72° 24' 04" O
42055;V;Valcourt;2148;45° 29' 32" N;72° 18' 52" O
42060;CT;Valcourt;1054;45° 29' 18" N;72° 18' 34" O
42065;M;Maricourt;473;45° 33' 53" N;72° 15' 45" O
42070;VL;Kingsbury;140;45° 35' 15" N;72° 08' 19" O
42075;CT;Melbourne;1136;45° 38' 42" N;72° 08' 29" O
42078;M;Ulverton;454;45° 43' 32" N;72° 14' 25" O
42088;V;Windsor;5328;45° 34' 07" N;72° 00' 21" O
42095;M;Val-Joli;1780;45° 35' 37" N;71° 58' 07" O
42098;V;Richmond;3385;45° 39' 56" N;72° 08' 49" O
42100;M;Saint-Claude;1166;45° 39' 33" N;71° 58' 34" O
42110;CT;Cleveland;1623;45° 38' 39" N;72° 08' 00" O
43027;V;Sherbrooke;184303;45° 24' 15" N;71° 53' 35" O
44003;M;Saint-Malo;526;45° 11' 54" N;71° 30' 03" O
44005;M;Saint-Venant-de-Paquette;74;45° 07' 30" N;71° 27' 43" O
44010;M;East Hereford;309;45° 04' 34" N;71° 30' 09" O
44015;M;Saint-Herménégilde;743;45° 06' 19" N;71° 40' 22" O
44023;M;Dixville;820;45° 04' 03" N;71° 46' 11" O
44037;V;Coaticook;9056;45° 08' 04" N;71° 48' 18" O
44045;M;Barnston-Ouest;555;45° 06' 09" N;71° 58' 33" O
44050;M;Stanstead-Est;665;45° 05' 30" N;72° 03' 24" O
44055;CT;Sainte-Edwidge-de-Clifton;555;45° 12' 20" N;71° 40' 60" O
44060;M;Martinville;460;45° 16' 42" N;71° 43' 03" O
44071;M;Compton;3388;45° 14' 32" N;71° 49' 39" O
44080;V;Waterville;2548;45° 16' 41" N;71° 53' 26" O
45008;V;Stanstead;3029;45° 00' 38" N;72° 05' 51" O
45020;M;Ogden;814;45° 01' 33" N;72° 12' 54" O
45025;CT;Stanstead;1162;45° 07' 06" N;72° 10' 55" O
45030;CT;Potton;2200;45° 02' 59" N;72° 23' 30" O
45035;VL;Ayer's Cliff;1272;45° 10' 10" N;72° 02' 37" O
45043;M;Hatley;795;45° 10' 50" N;71° 59' 27" O
45050;VL;North Hatley;766;45° 16' 48" N;71° 58' 20" O
45055;CT;Hatley;2489;45° 17' 36" N;71° 56' 58" O
45060;M;Sainte-Catherine-de-Hatley;2896;45° 15' 04" N;72° 02' 50" O
45072;V;Magog;30496;45° 15' 54" N;72° 08' 48" O
45080;M;Saint-Benoît-du-Lac;43;45° 10' 01" N;72° 16' 09" O
45085;M;Austin;1933;45° 11' 12" N;72° 16' 49" O
45093;M;Eastman;2650;45° 18' 48" N;72° 18' 16" O
45095;M;Bolton-Est;1274;45° 12' 09" N;72° 21' 24" O
45100;M;Saint-Étienne-de-Bolton;888;45° 15' 57" N;72° 22' 51" O
45105;VL;Stukely-Sud;1251;45° 19' 15" N;72° 24' 55" O
45115;CT;Orford;5657;45° 18' 50" N;72° 10' 13" O
46005;VL;Abercorn;355;45° 02' 08" N;72° 39' 35" O
46010;M;Frelighsburg;1204;45° 03' 22" N;72° 50' 14" O
46017;M;Saint-Armand;1239;45° 01' 55" N;73° 02' 31" O
46025;M;Pike River;492;45° 07' 19" N;73° 04' 06" O
46030;M;Stanbridge Station;284;45° 07' 08" N;73° 01' 50" O
46035;V;Bedford;2726;45° 07' 15" N;72° 59' 16" O
46040;CT;Bedford;703;45° 07' 10" N;72° 58' 06" O
46045;M;Stanbridge East;836;45° 07' 22" N;72° 54' 53" O
46050;V;Dunham;3620;45° 07' 52" N;72° 47' 58" O
46058;V;Sutton;4760;45° 06' 22" N;72° 36' 56" O
46065;M;Bolton-Ouest;772;45° 14' 36" N;72° 27' 42" O
46070;VL;Brome;338;45° 11' 36" N;72° 34' 15" O
46075;V;Lac-Brome;6286;45° 13' 09" N;72° 30' 31" O
46078;V;Bromont;12210;45° 19' 08" N;72° 38' 46" O
46080;V;Cowansville;16847;45° 12' 17" N;72° 44' 28" O
46085;M;East Farnham;698;45° 14' 34" N;72° 46' 24" O
46090;M;Brigham;2360;45° 14' 55" N;72° 50' 45" O
46095;M;Saint-Ignace-de-Stanbridge;712;45° 10' 20" N;72° 56' 46" O
46100;M;Notre-Dame-de-Stanbridge;704;45° 10' 22" N;73° 02' 17" O
46105;M;Sainte-Sabine;1128;45° 13' 38" N;73° 01' 16" O
46112;V;Farnham;11228;45° 17' 02" N;72° 58' 36" O
47010;M;Saint-Alphonse-de-Granby;3540;45° 19' 39" N;72° 47' 23" O
47017;V;Granby;71815;45° 23' 56" N;72° 43' 16" O
47025;V;Waterloo;5572;45° 20' 41" N;72° 30' 56" O
47030;VL;Warden;397;45° 22' 40" N;72° 30' 15" O
47035;CT;Shefford;7672;45° 22' 06" N;72° 34' 05" O
47040;M;Saint-Joachim-de-Shefford;1577;45° 26' 50" N;72° 31' 34" O
47047;M;Roxton Pond;4762;45° 28' 35" N;72° 39' 52" O
47055;M;Sainte-Cécile-de-Milton;2312;45° 28' 57" N;72° 45' 14" O
48005;M;Béthanie;362;45° 30' 05" N;72° 26' 15" O
48010;VL;Roxton Falls;1372;45° 34' 21" N;72° 31' 21" O
48015;CT;Roxton;1160;45° 33' 54" N;72° 31' 03" O
48020;P;Sainte-Christine;827;45° 36' 47" N;72° 25' 39" O
48028;V;Acton Vale;7962;45° 38' 52" N;72° 33' 53" O
48038;M;Upton;2188;45° 39' 02" N;72° 41' 39" O
48045;M;Saint-Théodore-d'Acton;1635;45° 41' 05" N;72° 34' 38" O
48050;P;Saint-Nazaire-d'Acton;897;45° 44' 21" N;72° 37' 01" O
49005;M;Saint-Félix-de-Kingsey;1516;45° 47' 43" N;72° 11' 27" O
49015;M;Durham-Sud;1036;45° 39' 42" N;72° 20' 44" O
49020;M;Lefebvre;925;45° 42' 48" N;72° 24' 47" O
49025;M;L'Avenir;1423;45° 45' 56" N;72° 18' 44" O
49030;M;Saint-Lucien;1961;45° 52' 26" N;72° 15' 59" O
49040;M;Wickham;2775;45° 45' 49" N;72° 30' 00" O
49048;M;Saint-Germain-de-Grantham;5076;45° 50' 34" N;72° 33' 43" O
49058;V;Drummondville;84876;45° 52' 50" N;72° 29' 03" O
49070;M;Saint-Cyrille-de-Wendover;5159;45° 55' 53" N;72° 25' 36" O
49075;VL;Notre-Dame-du-Bon-Conseil;1863;46° 00' 02" N;72° 20' 39" O
49080;P;Notre-Dame-du-Bon-Conseil;959;45° 58' 29" N;72° 22' 26" O
49085;P;Sainte-Brigitte-des-Saults;841;46° 01' 38" N;72° 28' 57" O
49095;P;Saint-Majorique-de-Grantham;1365;45° 55' 55" N;72° 34' 53" O
49100;M;Saint-Edmond-de-Grantham;832;45° 52' 54" N;72° 40' 35" O
49105;M;Saint-Eugène;1160;45° 48' 15" N;72° 41' 47" O
49113;M;Saint-Guillaume;1476;45° 52' 55" N;72° 45' 58" O
49125;M;Saint-Bonaventure;1077;45° 57' 57" N;72° 40' 49" O
49130;P;Saint-Pie-de-Guire;463;46° 00' 11" N;72° 44' 51" O
50005;M;Sainte-Eulalie;1048;46° 06' 53" N;72° 15' 15" O
50013;M;Aston-Jonction;460;46° 10' 09" N;72° 13' 45" O
50023;M;Saint-Wenceslas;1192;46° 09' 58" N;72° 19' 37" O
50030;VL;Saint-Célestin;899;46° 12' 51" N;72° 25' 58" O
50035;M;Saint-Célestin;601;46° 11' 54" N;72° 27' 19" O
50042;M;Saint-Léonard-d'Aston;2660;46° 06' 31" N;72° 22' 33" O
50050;P;Sainte-Perpétue;944;46° 05' 05" N;72° 28' 14" O
50057;M;Sainte-Monique;520;46° 09' 29" N;72° 32' 14" O
50065;M;Grand-Saint-Esprit;484;46° 10' 52" N;72° 29' 48" O
50072;V;Nicolet;8780;46° 13' 35" N;72° 36' 58" O
50085;M;La Visitation-de-Yamaska;297;46° 07' 49" N;72° 36' 11" O
50090;P;Saint-Zéphirin-de-Courval;717;46° 03' 07" N;72° 36' 54" O
50095;P;Saint-Elphège;262;46° 03' 18" N;72° 42' 12" O
50100;M;Baie-du-Febvre;1011;46° 08' 15" N;72° 43' 18" O
50113;M;Pierreville;2184;46° 04' 02" N;72° 48' 40" O
50128;M;Saint-François-du-Lac;1921;46° 04' 02" N;72° 49' 42" O
50802;R;Odanak;501;46° 04' 24" N;72° 49' 12" O
51008;M;Maskinongé;2439;46° 13' 21" N;73° 00' 59" O
51015;V;Louiseville;7539;46° 15' 20" N;72° 56' 33" O
51020;M;Yamachiche;2875;46° 16' 48" N;72° 50' 07" O
51025;P;Saint-Barnabé;1224;46° 23' 39" N;72° 52' 41" O
51030;P;Saint-Sévère;350;46° 20' 48" N;72° 53' 54" O
51035;P;Saint-Léon-le-Grand;897;46° 18' 48" N;72° 56' 12" O
51040;M;Sainte-Ursule;1344;46° 17' 25" N;73° 01' 44" O
51045;M;Saint-Justin;956;46° 14' 58" N;73° 05' 23" O
51050;M;Saint-Édouard-de-Maskinongé;810;46° 19' 43" N;73° 08' 49" O
51055;M;Sainte-Angèle-de-Prémont;620;46° 21' 53" N;73° 03' 26" O
51060;M;Saint-Paulin;1624;46° 25' 22" N;73° 00' 50" O
51065;P;Saint-Alexis-des-Monts;3148;46° 27' 36" N;73° 08' 49" O
51070;M;Saint-Mathieu-du-Parc;1594;46° 34' 24" N;72° 55' 19" O
51075;M;Saint-Élie-de-Caxton;2060;46° 29' 10" N;72° 57' 39" O
51080;M;Charette;1129;46° 26' 41" N;72° 55' 15" O
51085;M;Saint-Boniface;5326;46° 30' 13" N;72° 49' 50" O
51090;P;Saint-Étienne-des-Grès;4685;46° 26' 25" N;72° 46' 22" O
52007;V;Lavaltrie;15861;45° 53' 04" N;73° 16' 37" O
52017;M;Lanoraie;5584;45° 57' 42" N;73° 13' 18" O
52030;M;Sainte-Élisabeth;1456;46° 05' 42" N;73° 20' 58" O
52035;V;Berthierville;4522;46° 05' 02" N;73° 10' 34" O
52040;M;Sainte-Geneviève-de-Berthier;2323;46° 05' 26" N;73° 12' 18" O
52045;M;Saint-Ignace-de-Loyola;2142;46° 03' 58" N;73° 07' 50" O
52050;M;La Visitation-de-l'Île-Dupas;707;46° 05' 10" N;73° 08' 33" O
52055;P;Saint-Barthélemy;2099;46° 11' 29" N;73° 07' 08" O
52062;M;Saint-Cuthbert;1880;46° 08' 54" N;73° 13' 10" O
52070;P;Saint-Norbert;1143;46° 10' 04" N;73° 18' 44" O
52075;M;Saint-Cléophas-de-Brandon;284;46° 13' 41" N;73° 24' 24" O
52080;V;Saint-Gabriel;2991;46° 17' 36" N;73° 22' 57" O
52085;M;Saint-Gabriel-de-Brandon;2872;46° 17' 02" N;73° 21' 54" O
52090;P;Saint-Didace;756;46° 19' 45" N;73° 16' 59" O
52095;M;Mandeville;2457;46° 21' 27" N;73° 21' 16" O
53005;M;Saint-David;903;45° 57' 27" N;72° 51' 10" O
53010;VL;Massueville;561;45° 54' 39" N;72° 55' 41" O
53015;M;Saint-Aimé;446;45° 54' 48" N;72° 57' 15" O
53020;M;Saint-Robert;1852;45° 58' 22" N;72° 59' 59" O
53025;M;Sainte-Victoire-de-Sorel;2569;45° 56' 55" N;73° 05' 16" O
53032;V;Saint-Ours;1766;45° 53' 19" N;73° 09' 04" O
53040;M;Saint-Roch-de-Richelieu;2877;45° 53' 31" N;73° 09' 51" O
53050;V;Saint-Joseph-de-Sorel;1563;46° 02' 33" N;73° 07' 33" O
53052;V;Sorel-Tracy;36291;46° 02' 37" N;73° 06' 48" O
53065;M;Sainte-Anne-de-Sorel;2739;46° 03' 45" N;73° 01' 19" O
53072;M;Yamaska;1754;46° 00' 30" N;72° 54' 01" O
53085;P;Saint-Gérard-Majella;250;46° 00' 18" N;72° 50' 21" O
54008;V;Saint-Pie;6043;45° 30' 06" N;72° 54' 01" O
54017;M;Saint-Damase;2455;45° 31' 36" N;73° 00' 24" O
54025;VL;Sainte-Madeleine;2337;45° 35' 39" N;73° 05' 33" O
54030;P;Sainte-Marie-Madeleine;2966;45° 35' 23" N;73° 07' 06" O
54035;M;La Présentation;2715;45° 39' 57" N;73° 03' 03" O
54048;V;Saint-Hyacinthe;60707;45° 37' 34" N;72° 56' 47" O
54060;M;Saint-Dominique;2967;45° 33' 52" N;72° 51' 06" O
54065;M;Saint-Valérien-de-Milton;1801;45° 33' 36" N;72° 42' 45" O
54072;M;Saint-Liboire;3092;45° 38' 56" N;72° 45' 31" O
54090;M;Saint-Simon;1419;45° 44' 07" N;72° 52' 26" O
54095;M;Sainte-Hélène-de-Bagot;1875;45° 43' 48" N;72° 44' 07" O
54100;M;Saint-Hugues;1387;45° 47' 39" N;72° 51' 31" O
54105;M;Saint-Barnabé-Sud;1064;45° 43' 49" N;72° 55' 24" O
54110;M;Saint-Jude;1415;45° 46' 16" N;72° 59' 33" O
54115;M;Saint-Bernard-de-Michaudville;659;45° 49' 36" N;73° 03' 38" O
54120;M;Saint-Louis;762;45° 51' 17" N;72° 58' 33" O
54125;M;Saint-Marcel-de-Richelieu;505;45° 51' 39" N;72° 53' 53" O
55008;M;Ange-Gardien;3056;45° 21' 19" N;72° 56' 04" O
55015;M;Saint-Paul-d'Abbotsford;2922;45° 26' 12" N;72° 53' 05" O
55023;V;Saint-Césaire;6156;45° 24' 36" N;73° 00' 15" O
55030;M;Sainte-Angèle-de-Monnoir;1872;45° 23' 27" N;73° 06' 32" O
55037;M;Rougemont;2747;45° 26' 38" N;73° 04' 21" O
55048;V;Marieville;11930;45° 25' 53" N;73° 09' 49" O
55057;V;Richelieu;5986;45° 26' 36" N;73° 15' 12" O
55065;M;Saint-Mathias-sur-Richelieu;4622;45° 28' 32" N;73° 16' 05" O
56005;M;Venise-en-Québec;2269;45° 04' 59" N;73° 09' 08" O
56010;M;Clarenceville;1220;45° 03' 44" N;73° 12' 48" O
56015;M;Noyan;1507;45° 03' 53" N;73° 17' 53" O
56023;M;Lacolle;2820;45° 04' 51" N;73° 22' 24" O
56030;M;Saint-Valentin;434;45° 07' 45" N;73° 19' 31" O
56035;M;Saint-Paul-de-l'Île-aux-Noix;2277;45° 07' 50" N;73° 16' 37" O
56042;M;Henryville;1627;45° 08' 13" N;73° 11' 34" O
56050;M;Saint-Sébastien;737;45° 07' 38" N;73° 08' 52" O
56055;M;Saint-Alexandre;2735;45° 14' 24" N;73° 07' 02" O
56060;P;Sainte-Anne-de-Sabrevois;2282;45° 12' 19" N;73° 13' 41" O
56065;M;Saint-Blaise-sur-Richelieu;2176;45° 12' 35" N;73° 17' 18" O
56083;V;Saint-Jean-sur-Richelieu;100558;45° 18' 20" N;73° 15' 13" O
56097;M;Mont-Saint-Grégoire;3211;45° 20' 08" N;73° 09' 34" O
56105;M;Sainte-Brigide-d'Iberville;1535;45° 19' 20" N;73° 03' 48" O
57005;V;Chambly;31854;45° 26' 60" N;73° 17' 28" O
57010;V;Carignan;12497;45° 27' 57" N;73° 19' 46" O
57020;V;Saint-Basile-le-Grand;17265;45° 31' 34" N;73° 17' 15" O
57025;V;McMasterville;6136;45° 33' 04" N;73° 13' 49" O
57030;V;Otterburn Park;9249;45° 32' 28" N;73° 11' 18" O
57033;M;Saint-Jean-Baptiste;3371;45° 31' 12" N;73° 07' 27" O
57035;V;Mont-Saint-Hilaire;19398;45° 33' 53" N;73° 11' 29" O
57040;V;Beloeil;25083;45° 34' 00" N;73° 12' 07" O
57045;M;Saint-Mathieu-de-Beloeil;3014;45° 36' 08" N;73° 14' 53" O
57050;M;Saint-Marc-sur-Richelieu;2320;45° 40' 42" N;73° 11' 42" O
57057;M;Saint-Charles-sur-Richelieu;1839;45° 41' 01" N;73° 11' 15" O
57068;M;Saint-Denis-sur-Richelieu;2446;45° 47' 11" N;73° 09' 35" O
57075;M;Saint-Antoine-sur-Richelieu;1853;45° 47' 01" N;73° 10' 33" O
58007;V;Brossard;97697;45° 27' 19" N;73° 28' 02" O
58012;V;Saint-Lambert;23601;45° 30' 06" N;73° 30' 48" O
58033;V;Boucherville;41936;45° 36' 16" N;73° 27' 09" O
58037;V;Saint-Bruno-de-Montarville;26799;45° 31' 34" N;73° 20' 26" O
58227;V;Longueuil;268684;45° 30' 50" N;73° 25' 53" O
59010;V;Sainte-Julie;30837;45° 35' 16" N;73° 19' 34" O
59015;V;Saint-Amable;14037;45° 38' 37" N;73° 18' 20" O
59020;V;Varennes;21557;45° 40' 57" N;73° 26' 30" O
59025;M;Verchères;5819;45° 46' 34" N;73° 21' 28" O
